state,county,lat,lon,population
FL,Hamilton,30.5014,-82.9990,14004
FL,Hardee,27.5481,-81.8170,25327
FL,Hendry,26.7266,-81.2161,39619
FL,Hernando,28.5044,-82.4970,194515
FL,Highlands,27.4626,-81.4448,101235
FL,Hillsborough,27.9673,-82.3986,1459762
FL,Holmes,30.8470,-85.7547,19653
FL,Indian River,27.6713,-80.4407,159788
FL,Jackson,30.7972,-85.2190,47319
FL,Jefferson,30.5029,-83.8913,14510
FL,Lafayette,30.0636,-83.1764,8226
FL,Lake,28.7169,-81.7507,383956
FL,Lee,26.5760,-81.8518,760822
FL,Leon,30.4661,-84.2697,292198
FL,Levy,29.3801,-82.6629,42915
FL,Liberty,30.3991,-84.9071,7974
FL,Madison,30.4724,-83.4259,17968
FL,Manatee,27.4783,-82.5205,399710
FL,Marion,29.1358,-82.1261,375908
FL,Martin,27.1459,-80.2457,158431
FL,Miami-Dade,25.7693,-80.3012,2701767
FL,Monroe,24.7474,-81.2448,82874
FL,Nassau,30.6083,-81.6343,90352
FL,Okaloosa,30.5516,-86.5656,211668
FL,Okeechobee,27.2719,-80.8243,39644
FL,Orange,28.5261,-81.3884,1429908
FL,Osceola,28.2691,-81.3904,388656
FL,Palm Beach,26.6165,-80.1437,1492191
FL,Pasco,28.2582,-82.5102,561891
FL,Pinellas,27.9002,-82.7270,959107
FL,Polk,28.0425,-81.7869,725046
FL,Putnam,29.6092,-81.7212,73321
FL,Santa Rosa,30.5472,-87.0358,188000
FL,Sarasota,27.2011,-82.4160,434006
FL,Seminole,28.6992,-81.3101,470856
FL,St. Johns,29.9918,-81.4349,273425
FL,St. Lucie,27.3336,-80.3571,329226
FL,Sumter,28.8335,-82.0248,129752
FL,Suwannee,30.2137,-82.9851,43474
FL,Taylor,30.0569,-83.5903,21796
FL,Union,30.0114,-82.3577,16147
FL,Volusia,29.0724,-81.1263,553543
FL,Wakulla,30.1874,-84.3329,33764
FL,Walton,30.5438,-86.1902,75305
FL,Washington,30.6494,-85.6239,25318
GA,Appling,31.7707,-82.3388,18444
GA,Atkinson,31.3175,-82.8781,8286
GA,Bacon,31.5470,-82.4661,11140
GA,Baker,31.3110,-84.4336,2876
GA,Baldwin,33.0855,-83.2436,43799
GA,Banks,34.3492,-83.5075,18035
GA,Barrow,33.9925,-83.7286,83505
GA,Bartow,34.2085,-84.8291,108901
GA,Ben Hill,31.7271,-83.2481,17194
GA,Berrien,31.2335,-83.2518,18160
