domain,org,city,state,type,qid,website
prparks.org,Park Ridge Park District,Park Ridge,IL,Special district,Q112221067,https://www.prparks.org/
peoriaparks.org,Peoria Park District,Peoria,IL,Special district,Q112221103,https://peoriaparks.org/
skokieparks.org,Skokie Park District,Skokie,IL,Special district,Q112228684,https://www.skokieparks.org/
wsparks.org,Western Springs Park District,Western Springs,IL,Special district,Q112228971,https://www.wsparks.org/
wilmettepark.org,Wilmette Park District,Wilmette,IL,Special district,Q112228979,https://wilmettepark.org/
winpark.org,Winnetka Park District,Winnetka,IL,Special district,Q112228982,https://www.winpark.org/
clermontparks.org,Clermont Park District,Clermont,OH,Special district,Q113897688,https://www.clermontparks.org/
rparks.org,Roselle Park District,Roselle,IL,Special district,Q114357550,https://www.rparks.org/
csparks.org,Carol Stream Park District,Carol Stream,IL,Special district,Q114358374,https://www.csparks.org/
mendocoastrec.org,Mendocino Coast Recreation and Park District,Mendocino Coast Recreation and,CA,Special district,Q115919862,https://www.mendocoastrec.org/
sgparks.org,Sugar Grove Park District,Sugar Grove,IL,Special district,Q116938168,https://www.sgparks.org/
mycmpd.com,Calumet Memorial Park District,Calumet Memorial,IL,Special district,Q118594118,https://www.mycmpd.com/
andersonislandparks.org,Anderson Island Parks and Recreation District,Washington,WA,Special district,Q123583579,https://andersonislandparks.org/
bgparks.org,Buffalo Grove Park District,Buffalo Grove,IL,Special district,Q123583615,https://www.bgparks.org/
wfparks.org,West Fargo Park District,West Fargo,ND,Special district,Q123583679,https://www.wfparks.org/
