domain,org,city,state,type,qid,website,lat,lon,enrollment
gpisd.org,Grand Prairie Independent School District,Grand Prairie,TX,School district,Q8560651,https://www.gpisd.org/,32.706679,-96.992602,27019
sfusd.edu,San Francisco Unified School District,San Francisco,CA,School district,Q2215009,http://www.sfusd.edu/,37.779253,-122.422153,48785
slps.org,St. Louis Public Schools,St Louis,MO,School district,Q4117147,https://www.slps.org/,38.633409,-90.194724,18321
abcusd.us,ABC Unified School District,Cerritos,CA,School district,Q4650267,https://www.abcusd.us/,33.879715,-118.071463,18354
airportschools.com,Airport Community Schools,Carleton,MI,School district,Q4698900,https://www.airportschools.com/,42.039126,-83.378558,2809
ahisd.net,Alamo Heights Independent School District,San Antonio,TX,School district,Q4705958,https://www.ahisd.net/,29.492513,-98.46681,4762
acps.k12.va.us,Alexandria City Public Schools,Alexandria,VA,School district,Q4720962,https://www.acps.k12.va.us/,38.815938,-77.051767,16040
ausd.us,Alhambra Unified School District,Alhambra,CA,School district,Q4724457,https://www.ausd.us/,34.082856,-118.140428,14922
aliceisd.net,Alice Independent School District,Alice,TX,School district,Q4725927,https://www.aliceisd.net/,27.757005,-98.052642,4506
aliefisd.net,Alief Independent School District,Houston,TX,School district,Q4726388,https://www.aliefisd.net/,29.711775,-95.596805,40329
alpineschools.org,Alpine School District,American Fork,UT,School district,Q4735517,https://alpineschools.org/,40.388401,-111.79653,87136
amaisd.org,Amarillo Independent School District,Amarillo,TX,School district,Q4740272,https://www.amaisd.org/,35.187867,-101.917377,30342
anaheimelementary.org,Anaheim Elementary School District,Anaheim,CA,School district,Q4750880,https://anaheimelementary.org/,33.822837,-117.898709,14618
auhsd.us,Anaheim Union High School District,Anaheim,CA,School district,Q4750896,https://www.auhsd.us/,33.837217,-117.948938,27748
a2schools.org,Ann Arbor Public Schools,Ann Arbor,MI,School district,Q4766227,https://www.a2schools.org/,42.25053,-83.737071,17026
aasd.k12.wi.us,Appleton Area School District,Appleton,WI,School district,Q4781388,https://www.aasd.k12.wi.us/,44.262645,-88.40485,15270
sd25.org,Arlington Heights School District 25,Arlington Heights,IL,School district,Q4792334,https://www.sd25.org/,42.062108,-87.981703,5316
aisd.net,Arlington Independent School District,Arlington,TX,School district,Q4792360,https://www.aisd.net/,32.763877,-97.101276,56167
austinisd.org,Austin Independent School District,Austin,TX,School district,Q4823141,https://www.austinisd.org/,30.218592,-97.753379,73384
battlegroundps.org,Battle Ground School District,Battle Ground,WA,School district,Q4870049,https://www.battlegroundps.org/,45.730385,-122.560814,12393
bmtisd.com,Beaumont Independent School District,Beaumont,TX,School district,Q4877574,https://bmtisd.com,30.088744,-94.137933,16730
bellinghamschools.org,Bellingham School District,Bellingham,WA,School district,Q4884034,https://bellinghamschools.org/,48.75927,-122.487031,11614
benton.k12.in.us,Benton Community School Corporation,Fowler,IN,School district,Q4890549,https://www.benton.k12.in.us/,40.614199,-87.314404,1609
bsd100.org,Berwyn South School District 100,Berwyn,IL,School district,Q4896043,https://www.bsd100.org/,41.83038,-87.784987,3029
bn98.org,Berwyn North School District 98,Berwyn,IL,School district,Q4896040,https://www.bn98.org/,41.858203,-87.790636,2519
bcsdk12.net,Bibb County Public School District,Macon,GA,School district,Q4902967,https://www.bcsdk12.net,32.83634,-83.626121,21392
birdvilleschools.net,Birdville Independent School District,Haltom City,TX,School district,Q4916161,https://www.birdvilleschools.net/,32.806592,-97.25215,22637
boiseschools.org,Boise School District,Boise,ID,School district,Q4938460,https://www.boiseschools.org/,43.574559,-116.283299,22809
do.bonita.k12.ca.us,Bonita Unified School District,San Dimas,CA,School district,Q4942075,https://do.bonita.k12.ca.us/,34.11791,-117.807832,9943
boone.k12.ky.us,Boone County Schools,Florence,KY,School district,Q4943618,https://www.boone.k12.ky.us/,38.980045,-84.65406,20200
brandywineschools.org,Brandywine School District,Wilmington,DE,School district,Q4957290,https://www.brandywineschools.org/,39.770645,-75.496312,10367
bisd.us,Brownsville Independent School District,Brownsville,TX,School district,Q4976789,https://www.bisd.us/,25.935024,-97.489797,37898
bryanisd.org,Bryan Independent School District,Bryan,TX,School district,Q4980176,https://www.bryanisd.org/,30.662862,-96.36752,16036
burbankusd.org,Burbank Unified School District,Burbank,CA,School district,Q4998167,https://www.burbankusd.org/,34.16531,-118.324641,14432
cannelton.k12.in.us,Cannelton City Schools,Cannelton,IN,School district,Q5032647,http://www.cannelton.k12.in.us,37.910295,-86.743796,219
canyonisd.net,Canyon Independent School District,Canyon,TX,School district,Q5034215,https://www.canyonisd.net/,35.018715,-101.920588,11075
capousd.org,Capistrano Unified School District,San Juan Capistrano,CA,School district,Q5035416,https://www.capousd.org,33.480054,-117.6699,41855
cfbisd.edu,Carrollton-Farmers Branch Independent School District,Carrollton,TX,School district,Q5046653,https://www.cfbisd.edu/,32.956845,-96.896255,24747
centennialsd.org,Centennial School District,Warminster,PA,School district,Q5059211,https://www.centennialsd.org/,40.201384,-75.078672,5317
cvsd.org,Central Valley School District,Liberty Lake,WA,School district,Q5061984,https://www.cvsd.org/,47.677979,-117.090529,14688
cherokee.k12.nc.us,Cherokee County Schools,Murphy,NC,School district,Q5092142,https://www.cherokee.k12.nc.us/,35.10192,-84.020121,3146
cvesd.org,Chula Vista Elementary School District,Chula Vista,CA,School district,Q5116087,https://www.cvesd.org,32.631432,-117.05811,22226
cicd99.edu,Cicero Public School District 99,Cicero,IL,School district,Q5119369,https://www.cicd99.edu/,41.847872,-87.752169,8815
casdschools.org,Coatesville Area School District,Thorndale,PA,School district,Q5138626,https://www.casdschools.org/,39.994607,-75.763395,5400
cobbk12.org,Cobb County School District,Marietta,GA,School district,Q5138757,https://www.cobbk12.org/,33.938441,-84.538051,106703
cjusd.net,Colton Joint Unified School District,Colton,CA,School district,Q5149475,https://www.cjusd.net/,34.079816,-117.333439,19297
comalisd.org,Comal Independent School District,New Braunfels,TX,School district,Q5150491,https://www.comalisd.org/,29.7049,-98.089,28511
comfort.txed.net,Comfort Independent School District,Comfort,TX,School district,Q5151682,https://www.comfort.txed.net,29.971004,-98.91519,1104
web.dusd.net,Downey Unified School District,Downey,CA,School district,Q5303136,https://web.dusd.net/,33.935007,-118.132808,22359
dublinschools.net,Dublin City School District,Dublin,OH,School district,Q5310857,https://www.dublinschools.net/,40.10515,-83.128948,16525
duncanvilleisd.org,Duncanville Independent School District,Duncanville,TX,School district,Q5314689,https://www.duncanvilleisd.org/,32.645936,-96.924682,11915
dcps.duvalschools.org,Duval County Public Schools,Jacksonville,FL,School district,Q5317603,https://dcps.duvalschools.org/,30.317393,-81.650348,128657
eaglepassisd.net,Eagle Pass Independent School District,Eagle Pass,TX,School district,Q5325186,https://www.eaglepassisd.net/,28.711723,-100.503288,13935
elps.k12.mi.us,East Lansing Public Schools,East Lansing,MI,School district,Q5328807,http://elps.k12.mi.us/education/district/district.php?sectiondetailid=1,42.743707,-84.47936,3788
eastnoble.net,East Noble School Corporation,Kendallville,IN,School district,Q5329046,https://www.eastnoble.net/,41.4414,-85.266281,3417
ecasd.us,Eau Claire Area School District,Eau Claire,WI,School district,Q5331426,https://www.ecasd.us/,44.811814,-91.496378,10871
ectorcountyisd.org,Ector County Independent School District,Odessa,TX,School district,Q5334310,https://www.ectorcountyisd.org,31.850676,-102.374332,33340
emcsd.org,El Monte City School District,El Monte,CA,School district,Q5351632,https://www.emcsd.org,34.073459,-118.039194,7045
erusd.org,El Rancho Unified School District,Pico Rivera,CA,School district,Q5351981,https://www.erusd.org/,33.994784,-118.080895,7255
inglewoodusd.com,Inglewood Unified School District,Inglewood,CA,School district,Q5362870,https://www.inglewoodusd.com/,33.958617,-118.362078,7354
eriesd.org,Erie City School District,Erie,PA,School district,Q5388283,https://www.eriesd.org/,42.11515,-80.079591,10100
eusd.org,Escondido Union School District,Escondido,CA,School district,Q5397390,https://www.eusd.org,33.119214,-117.115154,14322
district.fayar.net,Fayetteville Public Schools,Fayetteville,AR,School district,Q5439061,https://district.fayar.net/,36.05981,-94.174071,10560
fwps.org,Federal Way Public Schools,Federal Way,WA,School district,Q5440500,https://www.fwps.org/,47.304885,-122.324633,21606
forneyisd.net,Forney Independent School District,Forney,TX,School district,Q5470375,https://www.forneyisd.net/,32.743787,-96.476571,16211
fortbendisd.com,Fort Bend Independent School District,Sugar Land,TX,School district,Q5470808,https://www.fortbendisd.com/,29.58887,-95.622211,79660
fwcs.k12.in.us,Fort Wayne Community Schools,Fort Wayne,IN,School district,Q5472276,https://www.fwcs.k12.in.us/,41.074384,-85.137818,28612
fwisd.org,Fort Worth Independent School District,Fort Worth,TX,School district,Q5472395,https://www.fwisd.org/,32.760407,-97.360455,72783
frenship.net,Frenship Independent School District,Wolfforth,TX,School district,Q5502794,https://www.frenship.net/,33.503055,-102.011321,11165
ggusd.us,Garden Grove Unified School District,Garden Grove,CA,School district,Q5522250,https://www.ggusd.us,33.778272,-117.952205,38164
gusd.net,Glendale Unified School District,Glendale,CA,School district,Q5568391,https://www.gusd.net/,34.148958,-118.250587,24456
gcisd.net,Grapevine-Colleyville Independent School District,Grapevine,TX,School district,Q5597029,https://www.gcisd.net/,32.920412,-97.115968,13772
gwinnett.k12.ga.us,Gwinnett County Public Schools,Lawrenceville,GA,School district,Q5623670,http://www.gwinnett.k12.ga.us/,34.016948,-84.057792,181814
hlpschools.org,Hacienda La Puente Unified School District,City Of Industry,CA,School district,Q5637129,https://www.hlpschools.org/,34.01001,-117.958633,16206
dadeschools.net,Miami-Dade County Public Schools,Miami,FL,School district,Q5640011,http://www.dadeschools.net/,25.78893,-80.190942,334090
jackson.k12.ms.us,Jackson Public School District,Jackson,MS,School district,Q5646260,https://www.jackson.k12.ms.us/,32.292326,-90.182688,18710
harlandale.net,Harlandale Independent School District,San Antonio,TX,School district,Q5658439,https://www.harlandale.net/,29.349701,-98.487267,12174
hpsmi.org,Hartford Public Schools,Hartford,MI,School district,Q5674524,https://www.hpsmi.org/,42.211587,-86.166177,1364
