domain,type,org,city,state
nrfpdor.gov,Special district,Nestucca Rural Fire Protection District,Cloverdale,OR
frontier911or.gov,Special district,Frontier Regional 911,Condon,OR
gilliamcountyor.gov,County,Gilliam County Courthouse,Condon,OR
gilliamswcd.gov,Special district,Gilliam County Soil and Water Conservation District,Condon,OR
coosbayor.gov,City,City of Coos Bay,Coos Bay,OR
cooscountyor.gov,County,Coos County Oregon,Coquille,OR
coquillecity.gov,City,City of Coquille,Coquille,OR
corneliusor.gov,City,"City of Cornelius, Oregon",Cornelius,OR
bentoncountyor.gov,County,Benton County - Oregon,Corvallis,OR
corvallisoregon.gov,City,City of Corvallis,Corvallis,OR
cottagegroveor.gov,City,City of Cottage Grove,Cottage Grove,OR
creswellor.gov,City,City of Creswell,Creswell,OR
dallasor.gov,City,City of Dallas,Dallas,OR
dallasoregon.gov,City,City of Dallas,Dallas,OR
polkcountyor.gov,County,Polk County,Dallas,OR
swpolkfdor.gov,Special district,Southwestern Polk County Rural Fire Protection District 3,Dallas,OR
daytonoregon.gov,City,City of Dayton,Dayton,OR
detroitor.gov,City,City of Detroit,Detroit,OR
donaldoregon.gov,City,City of Donald,Donald,OR
durhamoregon.gov,City,City of Durham,Durham,OR
echofireoregon.gov,Special district,Echo Rural Fire Protection District,Echo,OR
enterpriseoregon.gov,City,City of Enterprise,Enterprise,OR
wallowacounty.gov,County,Wallowa County Government,Enterprise,OR
eugene-or.gov,City,City of Eugene ISD,Eugene,OR
lanecountyor.gov,County,Lane County,Eugene,OR
lcog-or.gov,Special district,Lane Council of Governments,Eugene,OR
fairvieworegon.gov,City,City of Fairview,Fairview,OR
fallscityoregon.gov,City,City of Falls City,Falls City,OR
forestgrove-or.gov,City,City of Forest Grove,Forest Grove,OR
cityoffossil.gov,City,City of Fossil,Fossil,OR
fossiloregon.gov,City,City of Fossil,Fossil,OR
garibaldi.gov,City,City of Garibaldi,Garibaldi,OR
gervaisor.gov,City,City of Gervais,Gervais,OR
gervaispd.gov,City,Gervais Police Department,Gervais,OR
salishansanitaryor.gov,Special district,Salishan Sanitary District,Gleneden Beach,OR
currycountyor.gov,County,Curry County,Gold beach,OR
cityofgoldhill.gov,City,City of Gold Hill,Gold Hill,OR
goldbeachoregon.gov,City,City of Gold Beach,GoldBeach,OR
grantspassoregon.gov,City,City of Grants Pass,Grants Pass,OR
josephinecounty.gov,County,Josephine County,Grants Pass,OR
midroguefd.gov,Special district,Mid Rogue Fire District,Grants Pass,OR
tworiversswcd.gov,Special district,Two Rivers Soil and Water Conservation District,Grants Pass,OR
greshamoregon.gov,City,City of Gresham,Gresham,OR
multcofire10.gov,Special district,Multnomah County Rural Fire Protection District #10,Gresham,OR
halseyor.gov,City,City of Halsey,Halsey,OR
happyvalleyor.gov,City,City of Happy Valley,Happy Valley,OR
sunrisewateror.gov,Special district,Sunrise Water Authority,Happy Valley,OR
hermiston.gov,City,City of Hermiston,Hermiston,OR
ucfd1oregon.gov,Special district,Umatilla County Fire District number 1,Hermiston,OR
hillsboro-oregon.gov,City,City of Hillsboro,Hillsboro,OR
washingtoncountyor.gov,County,Washington County,Hillsboro,OR
cityofhines.gov,City,City of Hines,Hines,OR
cityofhoodriver.gov,City,City of Hood River,Hood River,OR
hoodrivercounty.gov,County,Hood River County,Hood River,OR
hrwsba.gov,Special district,Hood River White Salmon Bridge Authority,Hood River,OR
cityofhuntingtonor.gov,City,City of Huntington,Huntington,OR
independenceor.gov,City,City of Independence,Independence,OR
polkfireor.gov,Special district,Polk County Fire District NO.1,Independence,OR
cityofioneoregon.gov,City,City of Ione Oregon,Ione,OR
islandcityoregon.gov,City,City of Island City,Island City,OR
grantcounty911or.gov,Special district,Grant County Emergency Communications Agency,JOHN DAY,OR
junctioncityoregon.gov,City,City of Junction City,Junction City,OR
keizerfire.gov,Special district,Keizer Rural Fire Protection District,Keizer,OR
keizeror.gov,City,City of Keizer,Keizer,OR
klamath911.gov,Special district,Klamath 911 Emergency Communications District,Klamath Falls,OR
klamathcountyor.gov,County,Klamath County,Klamath Falls,OR
klamathswcd.gov,Special district,Klamath Soil & Water Conservation District,Klamath Falls,OR
lagranderuralfire.gov,Special district,La Grande Rural Fire Protection District,La Grande,OR
ucsooregon.gov,County,Union County Sheriff's Office,La Grande,OR
unioncountyor.gov,County,Union County,La Grande,OR
lapineoregon.gov,City,City of La Pine,La Pine,OR
lafayetteoregon.gov,City,Lafayette Oregon,Lafayette,OR
lakegrovewateroregon.gov,Special district,Lake Grove Water District,lake oswego,OR
cityoflakesideoregon.gov,City,City of Lakeside,Lakeside,OR
thomascreekwestsiderfpd.gov,Special district,Thomas Creek Westside Rural Fire Protection District,Lakeview,OR
townoflakeviewor.gov,City,"Town of Lakeview, Oregon",Lakeview,OR
mckenziefireor.gov,Special district,McKenzie Fire & Rescue,Leaburg,OR
lebanonfireoregon.gov,Special district,Lebanon Fire Department,Lebanon,OR
lebanonoregon.gov,City,City of Lebanon,Lebanon,OR
lincolncityor.gov,City,City of Lincoln City,Lincoln City,OR
lowelloregon.gov,City,City of Lowell,Lowell,OR
lowellorfire.gov,Special district,Lowell Rural Fire Protection District,Lowell,OR
lyonsor.gov,City,City of Lyons,Lyons,OR
jeffersoncountyor.gov,County,Jefferson County Oregon,Madras,OR
madras.gov,City,City of Madras,Madras,OR
madraspd.gov,City,City of Madras Police Department,Madras,OR
northunitidor.gov,Special district,North Unit Irrigation District,MADRAS,OR
cityofmaywoodparkor.gov,City,City of Maywood Park,Maywood Park,OR
mcminnvillefiredistrict.gov,Special district,McMinnville Fire District,McMinnville,OR
mcminnvilleoregon.gov,City,City of McMinnville,McMinnville,OR
yamhillcounty.gov,County,Yamhill County,McMinnville,OR
ycom911.gov,Special district,Yamhill Communications Agency,McMinnville,OR
jacksoncountyor.gov,County,Jackson County Oregon,Medford,OR
medfordoregon.gov,City,"City of Medford, Oregon",Medford,OR
millersburgoregon.gov,City,City of Millersburg,Millersburg,OR
milton-freewater-or.gov,City,City of Milton-Freewater,Milton-Freewater,OR
milwaukieoregon.gov,City,City of Milwaukie,Milwaukie,OR
monmouthor.gov,City,City of Monmouth,Monmouth,OR
monroeoregon.gov,City,City of Monroe,Monroe,OR
cityofmosier.gov,City,City of Mosier,Mosier,OR
mtangel.gov,City,City of Mt. Angel,Mt. Angel,OR
tcwsa-or.gov,Special district,Tri City Water And Sanitary Authority,Myrtle Creek,OR
myrtlepointor.gov,City,City of Myrtle Point,Myrtle Point,OR
nbwaor.gov,Special district,Nehalem Bay Wastewater Agency,Nehalem,OR
nehalem.gov,City,City of Nehalem,Nehalem,OR
portofnehalem.gov,Special district,Port of Nehalem,Nehalem,OR
newbergoregon.gov,City,City of Newberg,Newberg,OR
housinglincolncountyor.gov,Special district,Housing Authority of Lincoln County,Newport,OR
lincolncountyoregon.gov,County,Lincoln County,Newport,OR
newportoregon.gov,City,City of Newport,Newport,OR
flyoth.gov,Special district,Coos County Airport District,North Bend,OR
northbendoregon.gov,City,City of North Bend,North Bend,OR
northplains.gov,City,City of North Plains,North Plains,OR
oidnh.gov,Special district,Owyhee Irrigation District,Nyssa,OR
malheurcountyswcd.gov,Special district,Malheur County Soil and Water Conservation District,Ontario,OR
oregoncityor.gov,City,City of Oregon City,Oregon City,OR
sfwbor.gov,Special district,South Fork Water Board,Oregon City,OR
imesdor.gov,School district,InterMountain Education Service District,Pendleton,OR
pendletonor.gov,City,City of Pendleton,Pendleton,OR
umatillacounty.gov,County,Umatilla County,Pendleton,OR
umoregonradio.gov,Special district,Umatilla Morrow Radio & Data District,Pendleton,OR
philomathoregon.gov,City,City of Philomath,Philomath,OR
jcfd5or.gov,Special district,Jackson County Rural Fire Protection District 5,Phoenix,OR
phoenixoregon.gov,City,City of Phoenix,Phoenix,OR
portorfordor.gov,City,City of Port Orford,Port Orford,OR
portorfordlibrary.gov,Special district,Port Orford Public Library District,"Port Orford, OR",OR
multcoda.gov,County,Multnomah County District Attorney,Portland,OR
portland.gov,City,City of Portland,Portland,OR
portlandoregon.gov,City,City of Portland,Portland,OR
portofportland.gov,Special district,Port of Portland,Portland,OR
ufswqd.gov,Special district,Urban Flood Safety and Water Quality District,Portland,OR
urbanfloodsafetyor.gov,Special district,Urban Flood Safety and Water Quality District,Portland,OR
prairiecityor.gov,City,Town of Prairie City,Prairie City,OR
crookcountyor.gov,County,Crook County,Prineville,OR
crooklibraryor.gov,County,Crook County Library,Prineville,OR
crookpublichealthor.gov,County,Crook County Health Dept,Prineville,OR
prineville.gov,City,City of Prineville,Prineville,OR
hdesd.gov,School district,High Desert Education Service District,Redmond,OR
rdmfire-or.gov,Special district,Redmond Fire & Rescue,Redmond,OR
redmondoregon.gov,City,City of Redmond,Redmond,OR
rockawaybeachoregon.gov,City,City of Rockaway Beach,Rockaway Beach,OR
douglascountyor.gov,County,"Douglas County, Oregon",Roseburg,OR
gawsaor.gov,Special district,Green Area Water & Sanitary Authority,Roseburg,OR
roseburgor.gov,City,City of Roseburg,Roseburg,OR
cityofrufus.gov,City,City of Rufus,Rufus,OR
columbiacountyor.gov,County,Columbia County,Saint Helens,OR
marioncountyor.gov,County,Marion County,Salem,OR
salemor.gov,City,City of Salem,Salem,OR
mcfd1or.gov,Special district,Marion County Fire District No.1,"Salem, OR",OR
sandyoregon.gov,City,City of Sandy,Sandy,OR
scappoose.gov,City,City of Scappoose,Scappoose,OR
scappoosefire.gov,Special district,Scappoose Rural Fire District,Scappoose,OR
sciooregon.gov,City,City of Scio,Scio,OR
unionhealthdistrictclatsop.gov,Special district,Union Health District of Clatsop County,Seaside,OR
cityofshaniko.gov,City,City of Shaniko,Shaniko,OR
shanikofireor.gov,City,South Wasco Fire and Rescue,Shaniko,OR
sherwoodoregon.gov,City,City of Sherwood,Sherwood,OR
drakescrossingfire.gov,Special district,Drakes Crossing Rural Fire Protection District,Silverton,OR
lrapa-or.gov,Special district,Lane Regional Air Protection Agency,Springfield,OR
springfield-or.gov,City,"City of Springfield, Oregon",Springfield,OR
sthelensoregon.gov,City,City of St Helens,St Helens,OR
santiamwater.gov,Special district,Santiam Water Control District,Stayton,OR
staytonoregon.gov,City,City of Stayton,Stayton,OR
sublimityoregon.gov,City,City of Sublimity,Sublimity,OR
sunriversdor.gov,Special district,Sunriver Service District,Sunriver,OR
sutherlinoregon.gov,City,City of Sutherlin,Sutherlin,OR
sutherlinwcdor.gov,Special district,Sutherlin Water Control District,Sutherlin,OR
shsd55or.gov,School district,Sweet Home School District 55,Sweet Home,OR
sweethomefireor.gov,Special district,SWEET HOME FIRE  AMBULANCE DISTRICT,SWEET HOME,OR
sweethomeor.gov,City,City of Sweet Home,Sweet Home,OR
talentid-or.gov,Special district,Talent Irrigation District,Talent,OR
tangentor.gov,City,City of Tangent,Tangent,OR
crrfire-or.gov,Special district,Crooked River Ranch Rural Fire Protection District,Terrebonne,OR
mcedd.gov,Special district,Mid Columbia Economic Development District,The Dalles,OR
portofthedalles.gov,Special district,Port of The Dalles,The Dalles,OR
thedalles.gov,City,City of The Dalles,The Dalles,OR
tigard-or.gov,City,"City of Tigard, Oregon",Tigard,OR
tvfr.gov,Special district,Tualatin Valley Fire & Rescue,Tigard,OR
tillamook911.gov,Special district,Tillamook County Emergency Communications District,Tillamook,OR
tillamookbus.gov,Special district,Tillamook County Transportation District,Tillamook,OR
tillamookcounty.gov,County,Tillamook County,Tillamook,OR
tillamookor.gov,City,City of Tillamook,Tillamook,OR
troutdaleoregon.gov,City,City of Troutdale,Troutdale,OR
tualatin.gov,City,City of Tualatin,Tualatin,OR
tualatinoregon.gov,City,City of Tualatin,Tualatin,OR
turneroregon.gov,City,City of Turner,Turner,OR
barlowwateror.gov,Special district,Barlow Water Improvement District,Tygh Valley,OR
umatilla.gov,City,City of Umatilla,Umatilla,OR
umatillahospitaldistrict-or.gov,Special district,Umatilla Hospital District,Umatilla,OR
venetaoregon.gov,City,City of Veneta,Veneta,OR
vernonia-or.gov,City,City of Vernonia,Vernonia,OR
vernoniafire.gov,Special district,Vernonia Rural Fire Protection District,Vernonia,OR
centraloregoncoastfire.gov,Special district,Central Oregon Coast Fire and Rescue,Waldport,OR
waldportoregon.gov,City,City of Waldport,Waldport,OR
cityofwallowa.gov,City,City of Wallowa,Wallowa,OR
hoodlandfire.gov,Special district,Hoodland Rural Fire Protection District #74,Welches,OR
readywestlinnor.gov,City,City of West Linn,West Linn,OR
westlinnoregon.gov,City,City of West Linn,West Linn,OR
dunescity.gov,City,Dunes City,Westlake,OR
cityofwheeleror.gov,City,City of Wheeler,Wheeler,OR
jcfd3or.gov,Special district,Jackson County Fire District 3,White City,OR
willaminaoregon.gov,City,City of Oregon,Willamina,OR
wilsonvilleoregon.gov,City,City of Wilsonville,Wilsonville,OR
cdfr-or.gov,Special district,Central Douglas Fire & Rescue Authority,Winston,OR
cityofwinston.gov,City,City of Winston,Winston,OR
wolfcreekfireor.gov,Special district,Wolf Creek Rural Fire Protection District,Wolf Creek,OR
woodvillageor.gov,City,City of Wood Village,Wood Village,OR
woodburn-or.gov,City,City of Woodburn,Woodburn,OR
yamhillfiredistrict.gov,Special district,Yamhill Fire District,Yamhill,OR
yamhilloregon.gov,City,City of Yamhill Oregon,Yamhill,OR
abingtonpa.gov,City,Abington Township,Abington,PA
ksjwapa.gov,Special district,Kittanning Suburban Joint Water Authority,Adrian,PA
washingtontwpacpa.gov,City,Washington Township Armstrong County PA,Adrian,PA
lowerchancefordtwppa.gov,City,Lower Chanceford Township,Airville,PA
aldanpa.gov,City,Aldan Borough,Aldan,PA
aliquippapa.gov,City,City of Aliquippa,Aliquippa,PA
centerpolicebcpa.gov,City,Center Township Police Department,Aliquippa,PA
allentownpa.gov,City,City of Allentown,Allentown,PA
lantabus-pa.gov,City,Lehigh and Northampton Transportation Authority,Allentown,PA
lehighcountypa.gov,County,County of Lehigh,Allentown,PA
salisburylehighpa.gov,City,Salisbury Township,Allentown,PA
hampton-pa.gov,City,Township of Hampton,Allison Park,PA
hamptonpd-pa.gov,City,Township of Hampton Police Department,Allison Park,PA
hamptonshalerwater.gov,Special district,Hampton Shaler Water Authority,Allison Park,PA
altoonapa.gov,City,City of Altoona,Altoona,PA
altoonawater.gov,Special district,Altoona Water Authority,Altoona,PA
logantownship-pa.gov,City,Logan Township,Altoona,PA
kiskitownship-pa.gov,City,Kiskiminetas Township,Apollo,PA
archbaldboroughpa.gov,City,Archbald Borough,Archbald,PA
archbaldpa.gov,City,Archbald Borough,Archbald,PA
aspinwallpa.gov,City,Borough of Aspinwall,Aspinwall,PA
greenwoodtwpcrawfordpa.gov,City,Greenwood Township,Atlantic,PA
badenpa.gov,City,Borough of Baden,Baden,PA
beavercountypa.gov,County,Beaver County Information Technology,Beaver,PA
beaverpa.gov,City,Borough of Beaver,Beaver,PA
swparegionalcad.gov,County,Beaver County Information Technology,Beaver,PA
northsewickleytownship.gov,City,North Sewickley Township,Beaver Falls,PA
pattersontwppa.gov,City,Patterson Township,Beaver Falls,PA
southbeavertownshippa.gov,City,South Beaver Township,Beaver Falls,PA
bedfordboroughpa.gov,City,Bedford Police Department,BEDFORD,PA
bedfordtwpmapa.gov,Special district,Bedford Township Municipal (Water and Sewer) Authority,Bedford,PA
bfjrauthoritypa.gov,Special district,The Bedford Fulton Joint Recreation Authority,Bedford,PA
bedfordtwppa.gov,City,Bedford Township Supervisors,"Bedford , Pa. 15522",PA
beechcreektwppa.gov,City,Beech Creek Township,Beech Creek,PA
bellefontepa.gov,City,Borough of Bellefonte,Bellefonte,PA
centrecountypa.gov,County,County of Centre,Bellefonte,PA
bensalempa.gov,City,Bensalem Township,Bensalem,PA
berwickpa.gov,City,Borough of Berwick,Berwick,PA
tredyffrin.gov,City,Tredyffrin Township,Berwyn,PA
bethelparkpa.gov,City,Municipality of Bethel Park,Bethel Park,PA
bethelparkpapolice.gov,City,Bethel Park Police Department,Bethel Park,PA
bethlehem-pa.gov,City,City of Bethlehem,Bethlehem,PA
hendersontwpjcpa.gov,City,"Henderson Twp, Jefferson Co, Pennsylvania",Big Run,PA
boswellboropd-pa.gov,County,Boswell Borough Police Department,Boswell,PA
bradfordwoods.gov,City,Bradford Woods Borough,Bradford Woods,PA
bristoltwppa.gov,City,Bristol Township,Bristol,PA
brockwayborough.gov,County,The Brockway Borough Office,Brockway,PA
chestnuthilltwp-pa.gov,City,Chestnuthill Township,Brodheadsville,PA
brooklynpa.gov,City,Brooklyn Township,Brooklyn,PA
jeffersoncountypa.gov,County,Jefferson County,Brookville,PA
butlercountypa.gov,County,County of Butler PA,Butler,PA
winfieldpa.gov,City,Winfield Township,Cabot,PA
californiapa.gov,City,Borough of California,CALIFORNIA,PA
cantonboroughpa.gov,City,Canton Borough,Canton,PA
cumberlandcountypa.gov,County,County of Cumberland,Carlisle,PA
frenchcreektownshippa.gov,City,"French Creek Township, Mercer County",Carlton,PA
carnegieborough.gov,City,Carnegie Borough,Carnegie,PA
rosslynfarmspa.gov,City,Borough of Rosslyn Farms,Carnegie,PA
ceciltownship-pa.gov,City,Cecil Township PA,Cecil,PA
indianlakepa.gov,City,Indian Lake Borough,Central City,PA
chaddsfordpa.gov,City,Chadds Ford Township,Chadds Ford,PA
chambersburgpa.gov,City,Borough of Chambersburg,Chambersburg,PA
franklincountypa.gov,County,"County of Franklin, PA",Chambersburg,PA
cityofchesterpa.gov,City,City of Chester,Chester,PA
cityofchesterpafire.gov,City,City of Chester Fire Department,Chester,PA
cityofchesterpapolice.gov,City,City of Chester Police Department,Chester,PA
upperuwchlan-pa.gov,City,Upper Uwchlan Township,Chester Springs,PA
southabingtonpa.gov,City,South Abington Township,Chinchilla,PA
clarioncounty.gov,County,County of Clarion,Clarion,PA
clarionpolicepa.gov,City,Clarion Borough,Clarion,PA
clarkssummitpa.gov,City,Clarks Summit Borough,Clarks Summit,PA
greenfieldtownshippa.gov,City,Greenfield Township,Claysburg,PA
clearfieldcountypa.gov,County,Clearfield County Government,Clearfield,PA
clearfieldpa.gov,City,Clearfield Borough,Clearfield,PA
lawrencepa.gov,City,Lawrence Township Board of Supervisors,Clearfield,PA
cliftonheightspa.gov,City,Borough of Clifton Heights,Clifton Heights,PA
icmesapa.gov,Special district,Indiana County Municipal Emergency Services Authority,Clymer,PA
westmarlboroughpa.gov,City,West Marlborough Township,Coatesville,PA
collegeville-pa.gov,City,Borough of Collegeville,Collegeville,PA
eastconemaughpa.gov,City,East Conemaugh Borough,Conemaugh,PA
conshohockenpa.gov,City,Conshohocken Borough,Conshohocken,PA
bvrpd-pa.gov,Special district,Beaver Valley Regional Police Department,Conway,PA
paregion13.gov,Special district,Region 13 Southwestern PA Emergency Response Group,Coraopolis,PA
corrypa.gov,City,City of Corry,Corry,PA
pottercountypa.gov,County,Potter County,Coudersport,PA
curwensvillepa.gov,City,Curwensville Borough,Curwensville,PA
yorktownshippa.gov,City,York Township,Dallastown,PA
daltonboroughpa.gov,City,BOROUGH OF DALTON,DALTON,PA
montourcounty.gov,County,County of Montour,Danville,PA
dwgpa.gov,City,Borough of Delaware Water Gap,Delaware Water Gap,PA
dicksoncity-pa.gov,City,Dickson City Borough,Dickson City,PA
delawaretownshippa.gov,City,Delaware Township,Dingmans Ferry,PA
eastcalntownship.gov,City,East Caln Township,Downingtown,PA
buckscounty.gov,County,County of Bucks,Doylestown,PA
duboispa.gov,City,City of DuBois PA,DuBois,PA
dunbarboropa.gov,City,Dunbar Borough,Dunbar,PA
duncansvillepa.gov,City,Duncansville Borough,DUNCANSVILLE,PA
dunmorepa.gov,City,Dunmore Borough,Dunmore,PA
dupontpa.gov,City,Borough of Dupont,Dupont,PA
dushorepa.gov,City,Dushore Borough,Dushore,PA
eastbangorpa.gov,City,East Bangor Borough,East Bangor,PA
eastwashingtonpa.gov,City,East Washington Borough,East Washington,PA
easton-pa.gov,City,City of Easton,EASTON,PA
norcopa.gov,County,Northampton County,Easton,PA
westeaston.gov,City,Borough of West Easton,Easton,PA
cambriacountypa.gov,County,Cambria County,Ebensburg,PA
mesalancasterpa.gov,City,Municipal Emergency Services Authority of Lancaster County,Elizabethtown,PA
westdonegaltwp.gov,City,West Donegal Township,Elizabethtown,PA
cheltenhampa.gov,City,Cheltenham Township,Elkins Park,PA
emmauspa.gov,City,Borough of Emmaus,Emmaus,PA
emmauspd.gov,County,Emmaus Police Department,Emmaus,PA
capitalareaiu.gov,School district,Capital Area Intermediate Unit,Enola,PA
enonvalleyboropa.gov,City,Enon Valley Boro Council,Enon Valley Borough,PA
eriecountypa.gov,County,County of Erie,Erie,PA
wesleyville.gov,City,Wesleyville Borough,Erie,PA
carrollvalley.gov,County,The Borough of Carroll Valley,Fairfield,PA
hamiltonbanpa.gov,City,Hamiltonban Township,Fairfield,PA
libertytwpadamspa.gov,City,Liberty Township,Fairfield,PA
fallspa.gov,City,Falls Township,Falls,PA
easthopewelltownshippa.gov,City,East Hopewell Township,Felton,PA
franklintwpbeavercopa.gov,City,Franklin Township,Fombell,PA
mariontownshipbeavercountypa.gov,City,Marion Township,Fombell,PA
franklinpa.gov,City,City of Franklin,Franklin,PA
venangocountypa.gov,County,County of Venango,Franklin,PA
betheltwplebanon.gov,City,Bethel Township,Fredericksburg,PA
freelandpa.gov,City,Freeland Borough,Freeland,PA
harmartownship-pa.gov,City,Harmar Township,Freeport,PA
adamscountypa.gov,County,County of Adams,Gettysburg,PA
cumberlandtwppa.gov,City,Cumberland Township,Gettysburg,PA
gettysburgpa.gov,City,Borough of Gettysburg,Gettysburg,PA
highlandtwpadamspa.gov,City,"Highland Township, Adams County, Pennsylvania",Gettysburg,PA
mtjoytwppa.gov,City,Mt Joy Township,Gettysburg,PA
newhanoverpa.gov,City,New Hanover Township,Gilbertsville,PA
westeriecountyema.gov,City,West Erie County Emergency Management Agency,Girard,PA
glassportpapd.gov,City,Glassport Borough Police Department,Glassport,PA
codorustwpconstable.gov,City,Codorus Constable,Glen Rock,PA
greencastlepa.gov,City,Borough of Greencastle,Greencastle,PA
westmorelandcountypa.gov,County,Westmoreland County,Greensburg,PA
hempfieldtownshipmc.gov,City,Hempfield Township,Greenville,PA
hempfieldtownshippdmc.gov,City,Hempfield Township Police Department,Greenville,PA
perrytwpmcpa.gov,City,Perry Township in Mercer County,Hadley,PA
halifaxboropdpa.gov,City,Halifax Borough Police Dept,Halifax,PA
halifaxborough.gov,City,Halifax Borough,Halifax,PA
halifaxwatersewerpa.gov,Special district,Halifax Area Water & Sewer Authority,Halifax,PA
hfxtwppa.gov,City,Halifax Township Dauphin County Pennsylvania,Halifax,PA
jacksontwpdcpa.gov,City,Jackson Township in Dauphin County,Halifax,PA
hanoverboroughpa.gov,City,The Borough Of Hanover,Hanover,PA
dauphincounty.gov,County,Dauphin County,Harrisburg,PA
harrisburgpa.gov,City,City of Harrisburg,Harrisburg,PA
lowerpaxton-pa.gov,City,Lower Paxton Township,Harrisburg,PA
swataratwpauthority-pa.gov,City,Swatara Township Authority,Harrisburg,PA
harrisvilleboroughpa.gov,City,Harrisville Borough,Harrisville,PA
lackawaxentownshippa.gov,City,Lackawaxen Township,Hawley,PA
haysvilleborough.gov,City,Haysville Borough,Haysville,PA
highspire.gov,County,Borough of Highspire,Highspire,PA
blaircountypa.gov,County,County of Blair,Hollidaysburg,PA
honesdalepd-pa.gov,City,Honesdale Police Department,Honesdale,PA
waynecountypa.gov,County,Wayne County Courthouse,Honesdale,PA
hopbottompa.gov,County,Hop Bottom Borough,Hop Bottom,PA
libertytownshipcentrepa.gov,City,Liberty Township in Centre County,Howard,PA
hulmeville-pa.gov,City,Hulmeville Borough,Hulmeville,PA
hummelstown.gov,City,Borough of Hummelstown,Hummelstown,PA
huntingdoncountypa.gov,County,Huntingdon County Government,Huntingdon,PA
huntingdonsmithfieldpa.gov,City,Smithfield Township,Huntingdon,PA
indianacountypa.gov,County,County of Indiana,Indiana,PA
sewickleytownshipconstables.gov,City,State Constables Offices Sewickley Township CWOPA,Irwin,PA
jacksontwpmcpa.gov,City,Jackson Township,Jackson Center,PA
jacksontownshippa.gov,City,Jackson Township,Jackson Township,PA
jamestownpa.gov,City,Jamestown Borough,Jamestown,PA
warwickbucks.gov,City,Warwick Township,Jamison,PA
spwawater.gov,Special district,Southwestern PA Water Authority,Jefferson,PA
jeffersonhillspd.gov,City,Jefferson Hills Police Department,Jefferson Hills,PA
jeffersontwplackawanna.gov,City,Jefferson Township,Jefferson Township,PA
jermynpa.gov,City,Jermyn Borough,Jermyn,PA
carboncountypa.gov,County,County of Carbon,Jim Thorpe,PA
johnstownpa.gov,City,City of Johnstown,Johnstown,PA
stonycreekccpa.gov,City,"Stonycreek Township, Cambria County",Johnstown,PA
westhillspolicepa.gov,Special district,West Hills Regional Police Department,Johnstown,PA
knoxboropd.gov,City,Knox Borough Police Department,Knox,PA
koppelborough.gov,County,Koppel Borough,Koppel,PA
cityoflancasterpa.gov,City,"City of Lancaster,  PA",Lancaster,PA
lancastercountypa.gov,County,"County of Lancaster, Pa",Lancaster,PA
lancastercountypacourt.gov,County,Lancaster County Court of Common Pleas,Lancaster,PA
lcwc911pa.gov,County,"County of Lancaster, Pa",Lancaster,PA
londonbritaintownship-pa.gov,City,London Britiain Township,Landenberg,PA
lansdale.gov,City,Lansdale Borough,Lansdale,PA
lansdalepd.gov,County,Lansdale Borough Police Department,Lansdale,PA
sullivancountypa.gov,County,Sullivan County Commissioners,Laporte,PA
westsidepdpa.gov,Special district,West Side Regional Police Department,Larksville,PA
lebanoncountypa.gov,County,Lebanon County,Lebanon,PA
northlebanontwppa.gov,City,North Lebanon Township,Lebanon,PA
westlebanonpa.gov,City,West Lebanon Township,Lebanon,PA
eastpenntownship.gov,City,East Penn Township,Lehighton,PA
franklintownshipcarbonpa.gov,City,Franklin Township,Lehighton,PA
mahoningtwpcarbonpa.gov,City,Mahoning Township,Lehighton,PA
paconstableeastpenntwp.gov,City,East Penn Township Constable Office,Lehighton,PA
peterstownshipfcpa.gov,City,Peters Township Supervisors,Lemasters,PA
northuniontownship-pa.gov,City,North Union Township,Lemont Furnace,PA
mifflincountypa.gov,County,Mifflin County,Lewistown,PA
mifflincountyregionalpd.gov,County,MIFFLIN COUNTY REGIONAL POLICE,LEWISTOWN,PA
castaneatownshippa.gov,City,Castanea Township,Lock Haven,PA
clintoncountypa.gov,County,County of Clinton,Lock Haven,PA
lockhavenpa.gov,City,Lock Haven City,Lock Haven,PA
greenetwpclintonpa.gov,County,Greene Township Authority,Loganton,PA
paconstablelowerburrell4.gov,Special district,Pennsylvania State Constable Office Lower Burrell Fourth Precinct,Lower Burrell,PA
manchesterborough.gov,City,Manchester Borough,Manchester,PA
manorborough.gov,County,Manor Borough,Manor,PA
marysvilleboroughpa.gov,City,Marysville Borough,Marysville,PA
marysvilleboroughstormwater.gov,Special district,Marysville Borough Stormwater Authority,"Marysville,",PA
mayfieldboroughpa.gov,City,Mayfield Borough,Mayfield,PA
robinsonpa.gov,City,Robinson Township,McDonald,PA
mckeesport-pa.gov,City,City of McKeesport,McKeesport,PA
vernontwp-pa.gov,City,VERNON TOWNSHIP,Meadville,PA
delcopa.gov,County,Delaware County Courthouse and Government Center,Media,PA
delcopalandbank.gov,County,Delaware County Redevelopment Authority,Media,PA
middletowndelcopa.gov,City,Middletown Township,Media,PA
mercercountypa.gov,County,County Of Mercer,Mercer,PA
mercersburgpa.gov,City,Mercersburg,Mercersburg,PA
juniatacountypa.gov,County,Juniata County Government,Mifflintown,PA
pikepa.gov,County,Pike County Commissioners,Milford,PA
millhallboroughpa.gov,City,Mill Hall Borough,Mill Hall,PA
minersvillepa.gov,City,Minersville Borough,Minersville,PA
conytwpluzernepa.gov,City,Conyngham Township,Mocanaqua,PA
pottertwp-pa.gov,City,Potter Township,Monaca,PA
